title,price,district,town,main category,sub category,Brand,Model year,Condition,Transmission,Model,Body type,Fuel type,Engine capacity,Mileage
Bajaj threewheel,"610,000",Gampaha,Nittambuwa,Cars & Vehicles,Three Wheelers,,,Used,,,,,,
Honda CB HORNET 2015,"300,000",Colombo,Kottawa,Cars & Vehicles,Motorbikes & Scooters,Honda,2015,Used,,CB HORNET,,,160 ,"16,206 "
Nissan d21 1984,"1,490,000",Kurunegala,Polgahawela,Cars & Vehicles,Cars,Nissan,1984,Used,Manual,d21,SUV / 4x4,Diesel,"2,700 ","250,000 "
Kobelco SK 027,"1,050,000",Hambantota,Tissamaharama,Cars & Vehicles,Heavy Machinery & Tractors,,,Used,,,,,,
Volkswagen VW Passat 2002,"2,950,000",Colombo,Battaramulla,Cars & Vehicles,Cars,Volkswagen,2002,Used,Manual,VW Passat,Saloon,Diesel,"1,999 ","150,000 "
Peugeot 406 3 Doors,"40,000",Gampaha,Gampaha,Cars & Vehicles,Auto Parts & Accessories,,,Used,,,,,,
Vehicle gps tracker,"4,000",Gampaha,Veyangoda,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Suzuki Stingray 2018 New Car Dvd Player,"14,000",Colombo,Kottawa,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Vitz 2015/18 Car Dvd Player,"14,000",Colombo,Kottawa,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Maruti 2012,"1,285,000",Gampaha,Minuwangoda,Cars & Vehicles,Cars,Maruti,2012,Used,Manual,Maruti,,Petrol,800 ,"52,000 "
Toyota Dolphin LH 102 GL 1990,"2,975,000",Colombo,Piliyandala,Cars & Vehicles,"Vans, Buses & Lorries",Toyota,1990,Used,,Dolphin LH 102 GL,,,,"200,000 "
Nissan FB15 Super Saloon 2002,"2,490,000",Gampaha,Gampaha,Cars & Vehicles,Cars,Nissan,2002,Used,Automatic,FB15 Super Saloon,Saloon,Petrol,"1,500 ","100,000 "
Honda DIO new 2018,"72,200",Gampaha,Katunayake,Cars & Vehicles,Motorbikes & Scooters,Honda,2018,New,,DIO new,,,110 ,0 
Suzuki Wagon R,"2,700,000",Kalutara,Bandaragama,Cars & Vehicles,Auto Services,,,,,,,,,
Toyota Avanza Black 2011,"3,950,000",Gampaha,Ja-Ela,Cars & Vehicles,Cars,Toyota,2011,Used,Manual,Avanza Black,Station wagon,Petrol,"1,300 ","26,119 "
Toyota Premio G Superior 2014,"6,375,000",Gampaha,Kadawatha,Cars & Vehicles,Cars,Toyota,2014,Used,Automatic,Premio G Superior,,Petrol,"1,500 ","57,000 "
Toyota CHR GT TURBO 2017,"7,750,000",Gampaha,Ja-Ela,Cars & Vehicles,Cars,Toyota,2017,Reconditioned,Automatic,CHR GT TURBO,SUV / 4x4,Petrol,"1,200 ","7,530 "
Toyota Yaris 2008,"3,450,000",Colombo,Battaramulla,Cars & Vehicles,Cars,Toyota,2008,Used,Automatic,Yaris,Saloon,Petrol,"1,300 ","88,000 "
Toyota 121 G 2002,"3,490,000",Colombo,Piliyandala,Cars & Vehicles,Cars,Toyota,2002,Used,Automatic,121 G,,Petrol,"1,500 ","88,500 "
Suzuki Wagon R FX Safety 2018,"2,925,000",Gampaha,Kelaniya,Cars & Vehicles,Cars,Suzuki,2018,New,Automatic,Wagon R FX Safety,Hatchback,"Petrol, CNG",650 ,0 
Toyota Allion 2013,"5,875,000",Kurunegala,Kurunegala,Cars & Vehicles,Cars,Toyota,2013,Used,Automatic,Allion,Saloon,Petrol,"1,500 ","51,000 "
Bajaj pulsar 150 WB 2012,"123,000",Galle,Elpitiya,Cars & Vehicles,Motorbikes & Scooters,Bajaj,2012,Used,,pulsar 150 WB,,,150 ,"46,500 "
Kia Sorento 2012,"7,050,000",Ratnapura,Ratnapura,Cars & Vehicles,Cars,Kia,2012,Used,Tiptronic,Sorento,SUV / 4x4,Diesel,"2,199 ","87,000 "
